id name jersey teamName
165 Player165 72 Team106
166 Player166 36 Team283
167 Player167 81 Team735
168 Player168 97 Team702
169 Player169 33 Team672
170 Player170 45 Team264
171 Player171 57 Team356
172 Player172 1 Team54
173 Player173 22 Team809
174 Player174 51 Team946
175 Player175 57 Team757
176 Player176 8 Team559
177 Player177 85 Team983
178 Player178 86 Team145
179 Player179 31 Team223
180 Player180 2 Team162
181 Player181 91 Team451
182 Player182 86 Team467
183 Player183 66 Team660
184 Player184 58 Team440
185 Player185 28 Team25
186 Player186 19 Team511
187 Player187 93 Team650
188 Player188 20 Team314
189 Player189 20 Team23
190 Player190 90 Team19
191 Player191 77 Team906
192 Player192 40 Team392
193 Player193 6 Team626
194 Player194 45 Team415
195 Player195 9 Team825
196 Player196 31 Team875
197 Player197 19 Team160
198 Player198 53 Team71
199 Player199 63 Team298
200 Player200 94 Team178
201 Player201 53 Team271
202 Player202 81 Team669
203 Player203 66 Team986
204 Player204 34 Team481
205 Player205 9 Team628
206 Player206 51 Team100
207 Player207 36 Team626
208 Player208 59 Team925
209 Player209 35 Team973
210 Player210 93 Team182
211 Player211 17 Team433
212 Player212 82 Team594
213 Player213 55 Team32
214 Player214 78 Team143
215 Player215 96 Team287
216 Player216 96 Team901
217 Player217 81 Team361
218 Player218 40 Team975
219 Player219 15 Team171
220 Player220 38 Team834
221 Player221 11 Team761
222 Player222 87 Team668
223 Player223 59 Team551
224 Player224 42 Team695
225 Player225 23 Team625
226 Player226 3 Team126
227 Player227 45 Team695
228 Player228 87 Team303
229 Player229 47 Team467
230 Player230 26 Team594
231 Player231 92 Team485
232 Player232 29 Team465
233 Player233 33 Team153
234 Player234 29 Team88
235 Player235 74 Team927
236 Player236 2 Team758
237 Player237 95 Team316
238 Player238 73 Team228
239 Player239 65 Team759
240 Player240 37 Team110
241 Player241 62 Team87
242 Player242 64 Team488
243 Player243 76 Team475
244 Player244 52 Team628
245 Player245 86 Team929
246 Player246 80 Team521
247 Player247 72 Team963
248 Player248 25 Team597
249 Player249 75 Team262
250 Player250 98 Team526
251 Player251 77 Team261
252 Player252 65 Team117
253 Player253 81 Team327
254 Player254 5 Team772
255 Player255 76 Team548
256 Player256 67 Team521
257 Player257 91 Team925
258 Player258 93 Team764
259 Player259 90 Team852
260 Player260 51 Team830
261 Player261 13 Team714
262 Player262 50 Team579
263 Player263 50 Team8
264 Player264 93 Team201
265 Player265 22 Team440
266 Player266 27 Team761
267 Player267 53 Team325
268 Player268 43 Team109
269 Player269 27 Team888
270 Player270 2 Team851
271 Player271 7 Team429
272 Player272 25 Team385
273 Player273 2 Team541
274 Player274 26 Team705
275 Player275 65 Team357
276 Player276 34 Team351
277 Player277 14 Team486
278 Player278 64 Team217
279 Player279 43 Team358
280 Player280 13 Team358
281 Player281 34 Team272
282 Player282 11 Team362
283 Player283 27 Team23
284 Player284 17 Team113
285 Player285 46 Team697
286 Player286 3 Team42
287 Player287 70 Team130
288 Player288 74 Team566
289 Player289 26 Team933
290 Player290 22 Team856
291 Player291 75 Team963
292 Player292 21 Team735
293 Player293 22 Team973
294 Player294 74 Team370
295 Player295 60 Team964
296 Player296 34 Team484
297 Player297 21 Team636
298 Player298 69 Team849
299 Player299 23 Team939
300 Player300 46 Team143
301 Player301 94 Team512
302 Player302 71 Team176
303 Player303 76 Team826
304 Player304 54 Team871
305 Player305 43 Team935
306 Player306 59 Team784
307 Player307 91 Team399
308 Player308 5 Team702
309 Player309 17 Team735
310 Player310 54 Team535
311 Player311 13 Team994
312 Player312 79 Team706
313 Player313 33 Team549
314 Player314 42 Team301
315 Player315 59 Team642
316 Player316 56 Team856
317 Player317 75 Team463
318 Player318 90 Team878
319 Player319 31 Team679
320 Player320 70 Team444
321 Player321 82 Team674
322 Player322 42 Team314
323 Player323 84 Team73
324 Player324 48 Team611
325 Player325 28 Team933
326 Player326 96 Team696
327 Player327 3 Team832
328 Player328 43 Team489
329 Player329 75 Team91
330 Player330 94 Team590
331 Player331 53 Team146
332 Player332 49 Team315
333 Player333 40 Team741
334 Player334 67 Team259
335 Player335 39 Team760
336 Player336 6 Team606
337 Player337 20 Team182
338 Player338 91 Team830
339 Player339 16 Team609
340 Player340 88 Team998
341 Player341 27 Team557
342 Player342 20 Team628
343 Player343 33 Team542
344 Player344 93 Team241
345 Player345 94 Team175
346 Player346 10 Team78
347 Player347 20 Team684
348 Player348 96 Team993
349 Player349 85 Team602
350 Player350 29 Team760
351 Player351 97 Team429
352 Player352 11 Team85
353 Player353 77 Team787
354 Player354 55 Team971
355 Player355 51 Team848
356 Player356 34 Team504
357 Player357 36 Team664
358 Player358 64 Team364
359 Player359 2 Team172
360 Player360 67 Team241
361 Player361 87 Team543
362 Player362 96 Team914
363 Player363 68 Team705
364 Player364 40 Team233
365 Player365 58 Team206
366 Player366 26 Team540
367 Player367 7 Team423
368 Player368 12 Team248
369 Player369 22 Team649
370 Player370 2 Team865
371 Player371 45 Team76
372 Player372 63 Team713
373 Player373 24 Team679
374 Player374 87 Team263
375 Player375 6 Team986
376 Player376 75 Team945
377 Player377 94 Team541
378 Player378 80 Team509
379 Player379 5 Team871
380 Player380 98 Team324
381 Player381 46 Team473
382 Player382 27 Team88
383 Player383 59 Team764
384 Player384 4 Team104
385 Player385 69 Team528
386 Player386 18 Team970
387 Player387 57 Team566
388 Player388 29 Team544
389 Player389 4 Team89
390 Player390 73 Team638
391 Player391 36 Team464
392 Player392 1 Team682
393 Player393 5 Team343
394 Player394 15 Team61
395 Player395 36 Team759
396 Player396 57 Team889
397 Player397 89 Team691
398 Player398 30 Team844
399 Player399 47 Team621
400 Player400 56 Team68
401 Player401 82 Team784
402 Player402 18 Team227
403 Player403 39 Team39
404 Player404 53 Team630
405 Player405 38 Team749
406 Player406 25 Team360
407 Player407 83 Team767
408 Player408 94 Team956
409 Player409 54 Team727
410 Player410 68 Team26
411 Player411 61 Team2
412 Player412 77 Team497
413 Player413 72 Team516
414 Player414 46 Team343
415 Player415 57 Team914
416 Player416 6 Team197
417 Player417 70 Team73
418 Player418 33 Team607
419 Player419 38 Team430
420 Player420 32 Team706
421 Player421 35 Team813
422 Player422 71 Team94
423 Player423 33 Team37
424 Player424 85 Team142
425 Player425 26 Team995
426 Player426 40 Team653
427 Player427 78 Team839
428 Player428 89 Team356
429 Player429 28 Team132
430 Player430 15 Team842
431 Player431 73 Team12
432 Player432 67 Team187
433 Player433 89 Team651
434 Player434 20 Team635
435 Player435 4 Team354
436 Player436 33 Team453
437 Player437 50 Team263
438 Player438 58 Team455
439 Player439 68 Team635
440 Player440 69 Team257
441 Player441 50 Team125
442 Player442 42 Team214
443 Player443 83 Team29
444 Player444 95 Team81
445 Player445 34 Team859
446 Player446 93 Team156
447 Player447 78 Team265
448 Player448 24 Team677
449 Player449 43 Team910
450 Player450 53 Team562
451 Player451 77 Team949
452 Player452 95 Team654
453 Player453 84 Team221
454 Player454 57 Team924
455 Player455 70 Team370
456 Player456 18 Team260
457 Player457 1 Team620
458 Player458 14 Team4
459 Player459 67 Team782
460 Player460 72 Team393
461 Player461 16 Team314
462 Player462 66 Team590
463 Player463 51 Team939
464 Player464 30 Team411
465 Player465 79 Team235
466 Player466 35 Team962
467 Player467 99 Team494
468 Player468 31 Team270
469 Player469 89 Team870
470 Player470 59 Team701
471 Player471 13 Team265
472 Player472 70 Team216
473 Player473 4 Team816
474 Player474 16 Team40
475 Player475 18 Team289
476 Player476 66 Team955
477 Player477 48 Team711
478 Player478 32 Team775
479 Player479 65 Team816
480 Player480 14 Team542
481 Player481 98 Team680
482 Player482 83 Team899
483 Player483 7 Team789
484 Player484 20 Team133
485 Player485 59 Team690
486 Player486 77 Team9
487 Player487 72 Team791
488 Player488 41 Team364
489 Player489 29 Team185
490 Player490 29 Team201
491 Player491 23 Team886
492 Player492 96 Team72
493 Player493 48 Team868
494 Player494 18 Team296
495 Player495 93 Team826
496 Player496 74 Team630
497 Player497 40 Team599
498 Player498 43 Team694
499 Player499 34 Team81
500 Player500 19 Team250
501 Player501 37 Team529
502 Player502 49 Team865
503 Player503 19 Team406
504 Player504 16 Team817
505 Player505 92 Team727
506 Player506 56 Team88
507 Player507 61 Team965
508 Player508 54 Team687
509 Player509 82 Team663
510 Player510 70 Team65
511 Player511 6 Team416
512 Player512 83 Team874
513 Player513 97 Team942
514 Player514 76 Team763
515 Player515 11 Team532
516 Player516 55 Team269
517 Player517 13 Team603
518 Player518 30 Team308
519 Player519 19 Team13
520 Player520 50 Team631
521 Player521 58 Team810
522 Player522 26 Team557
523 Player523 15 Team294
524 Player524 99 Team153
525 Player525 65 Team346
526 Player526 57 Team249
527 Player527 67 Team713
528 Player528 83 Team115
529 Player529 6 Team959
530 Player530 72 Team705
531 Player531 66 Team53
532 Player532 25 Team480
533 Player533 23 Team424
534 Player534 1 Team867
535 Player535 38 Team499
536 Player536 74 Team197
537 Player537 38 Team634
538 Player538 81 Team23
539 Player539 58 Team393
540 Player540 69 Team926
541 Player541 55 Team459
542 Player542 69 Team808
543 Player543 40 Team831
544 Player544 88 Team601
545 Player545 52 Team800
546 Player546 38 Team449
547 Player547 23 Team541
548 Player548 2 Team576
549 Player549 51 Team568
550 Player550 62 Team398
551 Player551 36 Team898
552 Player552 89 Team852
553 Player553 87 Team231
554 Player554 94 Team926
555 Player555 65 Team230
556 Player556 68 Team941
557 Player557 59 Team148
558 Player558 17 Team656
559 Player559 84 Team793
560 Player560 87 Team755
561 Player561 64 Team147
562 Player562 3 Team947
563 Player563 3 Team570
564 Player564 26 Team664
565 Player565 28 Team516
566 Player566 38 Team476
567 Player567 73 Team529
568 Player568 68 Team571
569 Player569 15 Team465
570 Player570 55 Team963
571 Player571 5 Team525
572 Player572 76 Team470
573 Player573 34 Team924
574 Player574 37 Team334
575 Player575 57 Team911
576 Player576 37 Team337
577 Player577 23 Team279
578 Player578 19 Team637
579 Player579 25 Team165
580 Player580 11 Team950
581 Player581 29 Team506
582 Player582 72 Team5
583 Player583 3 Team624
584 Player584 54 Team971
585 Player585 67 Team569
586 Player586 76 Team86
587 Player587 45 Team374
588 Player588 42 Team195
589 Player589 76 Team827
590 Player590 83 Team573
591 Player591 13 Team641
592 Player592 69 Team820
593 Player593 53 Team612
594 Player594 61 Team290
595 Player595 5 Team566
596 Player596 44 Team586
597 Player597 80 Team451
598 Player598 32 Team610
599 Player599 76 Team167
600 Player600 64 Team75
601 Player601 46 Team301
602 Player602 94 Team574
603 Player603 47 Team162
604 Player604 87 Team969
605 Player605 35 Team32
606 Player606 34 Team427
607 Player607 98 Team423
608 Player608 85 Team780
609 Player609 23 Team553
610 Player610 25 Team392
611 Player611 52 Team765
612 Player612 83 Team365
613 Player613 53 Team256
614 Player614 6 Team475
615 Player615 43 Team822
616 Player616 86 Team548
617 Player617 95 Team790
618 Player618 64 Team196
619 Player619 73 Team951
620 Player620 9 Team755
621 Player621 7 Team13
622 Player622 90 Team440
623 Player623 64 Team913
624 Player624 61 Team968
625 Player625 55 Team416
626 Player626 28 Team224
627 Player627 78 Team435
628 Player628 57 Team487
629 Player629 63 Team959
630 Player630 6 Team807
631 Player631 49 Team701
632 Player632 82 Team693
633 Player633 8 Team533
634 Player634 65 Team975
635 Player635 82 Team22
636 Player636 68 Team223
637 Player637 28 Team377
638 Player638 72 Team949
639 Player639 52 Team983
640 Player640 41 Team777
641 Player641 14 Team112
642 Player642 8 Team857
643 Player643 87 Team926
644 Player644 68 Team487
645 Player645 76 Team970
646 Player646 61 Team535
647 Player647 36 Team669
648 Player648 82 Team992
649 Player649 22 Team784
650 Player650 98 Team728
651 Player651 24 Team872
652 Player652 6 Team613
653 Player653 92 Team28
654 Player654 24 Team546
655 Player655 5 Team186
656 Player656 44 Team238
657 Player657 11 Team314
658 Player658 29 Team851
659 Player659 82 Team112
660 Player660 89 Team150
661 Player661 6 Team455
662 Player662 30 Team682
663 Player663 43 Team268
664 Player664 92 Team794
665 Player665 23 Team473
666 Player666 84 Team831
667 Player667 53 Team443
668 Player668 30 Team878
669 Player669 31 Team703
670 Player670 10 Team382
671 Player671 58 Team824
672 Player672 60 Team24
673 Player673 5 Team596
674 Player674 73 Team328
675 Player675 64 Team311
676 Player676 67 Team59
677 Player677 7 Team488
678 Player678 87 Team529
679 Player679 9 Team259
680 Player680 86 Team861
681 Player681 44 Team287
682 Player682 70 Team611
683 Player683 18 Team129
684 Player684 21 Team842
685 Player685 28 Team504
686 Player686 18 Team866
687 Player687 49 Team882
688 Player688 51 Team751
689 Player689 4 Team599
690 Player690 46 Team662
691 Player691 27 Team757
692 Player692 18 Team279
693 Player693 86 Team436
694 Player694 30 Team76
695 Player695 63 Team387
696 Player696 13 Team361
697 Player697 65 Team49
698 Player698 19 Team493
699 Player699 59 Team841
700 Player700 35 Team736
701 Player701 11 Team600
702 Player702 57 Team893
703 Player703 6 Team329
704 Player704 49 Team370
705 Player705 60 Team795
706 Player706 75 Team253
707 Player707 65 Team433
708 Player708 32 Team209
709 Player709 97 Team498
710 Player710 78 Team650
711 Player711 38 Team842
712 Player712 91 Team101
713 Player713 13 Team649
714 Player714 20 Team852
715 Player715 22 Team634
716 Player716 93 Team201
717 Player717 55 Team991
718 Player718 57 Team920
719 Player719 60 Team579
720 Player720 62 Team545
721 Player721 74 Team488
722 Player722 9 Team526
723 Player723 69 Team539
724 Player724 68 Team194
725 Player725 38 Team12
726 Player726 76 Team835
727 Player727 59 Team498
728 Player728 14 Team530
729 Player729 59 Team806
730 Player730 82 Team393
731 Player731 44 Team550
732 Player732 96 Team980
733 Player733 84 Team278
734 Player734 74 Team194
735 Player735 37 Team498
736 Player736 66 Team277
737 Player737 90 Team583
738 Player738 16 Team160
739 Player739 25 Team490
740 Player740 61 Team450
741 Player741 55 Team73
742 Player742 85 Team9
743 Player743 50 Team209
744 Player744 43 Team504
745 Player745 26 Team608
746 Player746 40 Team75
747 Player747 61 Team612
748 Player748 12 Team762
749 Player749 68 Team891
750 Player750 78 Team684
751 Player751 55 Team933
752 Player752 10 Team742
753 Player753 5 Team814
754 Player754 91 Team397
755 Player755 17 Team616
756 Player756 15 Team600
757 Player757 40 Team681
758 Player758 91 Team33
759 Player759 33 Team585
760 Player760 14 Team518
761 Player761 78 Team671
762 Player762 44 Team883
763 Player763 5 Team524
764 Player764 79 Team106
765 Player765 21 Team96
766 Player766 70 Team917
767 Player767 37 Team179
768 Player768 17 Team59
769 Player769 56 Team751
770 Player770 49 Team730
771 Player771 25 Team996
772 Player772 6 Team677
773 Player773 34 Team900
774 Player774 4 Team566
775 Player775 25 Team609
776 Player776 35 Team244
777 Player777 32 Team515
778 Player778 71 Team56
779 Player779 5 Team974
780 Player780 13 Team749
781 Player781 9 Team987
782 Player782 66 Team447
783 Player783 96 Team518
784 Player784 77 Team917
785 Player785 34 Team792
786 Player786 26 Team913
787 Player787 29 Team694
788 Player788 83 Team816
789 Player789 22 Team858
790 Player790 49 Team53
791 Player791 39 Team552
792 Player792 83 Team227
793 Player793 47 Team956
794 Player794 18 Team395
795 Player795 85 Team98
796 Player796 96 Team66
797 Player797 39 Team262
798 Player798 6 Team79
799 Player799 49 Team141
800 Player800 58 Team948
801 Player801 70 Team171
802 Player802 78 Team490
803 Player803 1 Team150
804 Player804 67 Team866
805 Player805 39 Team283
806 Player806 80 Team433
807 Player807 86 Team368
808 Player808 11 Team883
809 Player809 32 Team642
810 Player810 5 Team188
811 Player811 73 Team480
812 Player812 85 Team539
813 Player813 68 Team448
814 Player814 53 Team647
815 Player815 2 Team760
816 Player816 94 Team423
817 Player817 46 Team487
818 Player818 90 Team29
819 Player819 14 Team861
820 Player820 49 Team778
821 Player821 65 Team504
822 Player822 71 Team432
823 Player823 76 Team456
824 Player824 41 Team107
825 Player825 41 Team822
826 Player826 71 Team282
827 Player827 84 Team456
828 Player828 9 Team125
829 Player829 4 Team136
830 Player830 91 Team775
831 Player831 61 Team999
832 Player832 96 Team254
833 Player833 92 Team636
834 Player834 60 Team889
835 Player835 36 Team233
836 Player836 95 Team681
837 Player837 28 Team679
838 Player838 16 Team802
839 Player839 14 Team200
840 Player840 66 Team364
841 Player841 74 Team574
842 Player842 80 Team246
843 Player843 39 Team275
844 Player844 66 Team354
845 Player845 93 Team288
846 Player846 27 Team111
847 Player847 32 Team466
848 Player848 45 Team530
849 Player849 82 Team113
850 Player850 13 Team382
851 Player851 31 Team891
852 Player852 40 Team806
853 Player853 99 Team33
854 Player854 30 Team321
855 Player855 99 Team432
856 Player856 56 Team294
857 Player857 80 Team579
858 Player858 20 Team207
859 Player859 46 Team167
860 Player860 31 Team698
861 Player861 34 Team695
862 Player862 86 Team789
863 Player863 14 Team985
864 Player864 90 Team979
865 Player865 36 Team16
866 Player866 94 Team685
867 Player867 61 Team907
868 Player868 90 Team98
869 Player869 3 Team391
870 Player870 53 Team786
871 Player871 33 Team200
872 Player872 46 Team711
873 Player873 56 Team814
874 Player874 92 Team86
875 Player875 22 Team581
876 Player876 45 Team268
877 Player877 72 Team445
878 Player878 21 Team508
879 Player879 5 Team828
880 Player880 58 Team432
881 Player881 25 Team272
882 Player882 72 Team694
883 Player883 86 Team338
884 Player884 28 Team605
885 Player885 6 Team407
886 Player886 47 Team23
887 Player887 10 Team1
888 Player888 48 Team538
889 Player889 42 Team389
890 Player890 30 Team290
891 Player891 67 Team182
892 Player892 26 Team585
893 Player893 98 Team762
894 Player894 1 Team218
895 Player895 97 Team483
896 Player896 45 Team666
897 Player897 62 Team105
898 Player898 37 Team96
899 Player899 62 Team222
900 Player900 5 Team782
901 Player901 22 Team107
902 Player902 93 Team344
903 Player903 22 Team81
904 Player904 43 Team869
905 Player905 28 Team714
906 Player906 80 Team252
907 Player907 91 Team80
908 Player908 59 Team41
909 Player909 50 Team934
910 Player910 20 Team664
911 Player911 83 Team654
912 Player912 19 Team96
913 Player913 12 Team875
914 Player914 98 Team836
915 Player915 40 Team977
916 Player916 42 Team726
917 Player917 13 Team809
918 Player918 96 Team157
919 Player919 59 Team833
920 Player920 85 Team441
921 Player921 50 Team563
922 Player922 17 Team963
923 Player923 93 Team837
924 Player924 7 Team203
925 Player925 15 Team81
926 Player926 94 Team77
927 Player927 50 Team494
928 Player928 19 Team547
929 Player929 81 Team774
930 Player930 90 Team881
931 Player931 71 Team73
932 Player932 37 Team708
933 Player933 87 Team667
934 Player934 83 Team589
935 Player935 8 Team169
936 Player936 2 Team397
937 Player937 89 Team10
938 Player938 35 Team137
939 Player939 71 Team763
940 Player940 96 Team743
941 Player941 22 Team923
942 Player942 60 Team249
943 Player943 81 Team369
944 Player944 57 Team715
945 Player945 29 Team291
946 Player946 69 Team760
947 Player947 2 Team896
948 Player948 57 Team641
949 Player949 2 Team200
950 Player950 99 Team792
951 Player951 50 Team682
952 Player952 89 Team754
953 Player953 76 Team30
954 Player954 49 Team43
955 Player955 19 Team84
956 Player956 36 Team815
957 Player957 49 Team245
958 Player958 77 Team230
959 Player959 61 Team865
960 Player960 18 Team471
961 Player961 57 Team48
962 Player962 11 Team488
963 Player963 72 Team277
964 Player964 39 Team541
965 Player965 57 Team991
966 Player966 18 Team711
967 Player967 67 Team946
968 Player968 17 Team471
969 Player969 87 Team590
970 Player970 97 Team979
971 Player971 30 Team7
972 Player972 96 Team136
973 Player973 25 Team197
974 Player974 27 Team89
975 Player975 66 Team780
976 Player976 55 Team791
977 Player977 15 Team966
978 Player978 13 Team106
979 Player979 27 Team568
980 Player980 96 Team135
981 Player981 2 Team458
982 Player982 30 Team546
983 Player983 35 Team219
984 Player984 28 Team845
985 Player985 47 Team564
986 Player986 41 Team265
987 Player987 92 Team724
988 Player988 27 Team605
989 Player989 21 Team228
990 Player990 11 Team693
991 Player991 71 Team364
992 Player992 97 Team364
993 Player993 99 Team566
994 Player994 97 Team446
995 Player995 98 Team496
996 Player996 11 Team23
997 Player997 34 Team152
998 Player998 48 Team56
999 Player999 28 Team739
1000 Player1000 34 Team883
1001 Player1001 25 Team655
1002 Player1002 61 Team708
1003 Player1003 90 Team339
1004 Player1004 46 Team291
1005 Player1005 56 Team155
1006 Player1006 53 Team624
1007 Player1007 50 Team79
1008 Player1008 44 Team982
1009 Player1009 54 Team734
1010 Player1010 9 Team595
1011 Player1011 25 Team847
1012 Player1012 38 Team446
1013 Player1013 95 Team617
1014 Player1014 9 Team490
1015 Player1015 15 Team964
1016 Player1016 20 Team698
1017 Player1017 35 Team631
1018 Player1018 59 Team909
1019 Player1019 8 Team475
1020 Player1020 43 Team373
1021 Player1021 97 Team856
1022 Player1022 3 Team562
1023 Player1023 70 Team607
1024 Player1024 67 Team76
1025 Player1025 69 Team120
1026 Player1026 10 Team433
1027 Player1027 34 Team780
1028 Player1028 4 Team284
1029 Player1029 76 Team837
1030 Player1030 69 Team119
1031 Player1031 66 Team29
1032 Player1032 44 Team578
1033 Player1033 46 Team92
1034 Player1034 64 Team796
1035 Player1035 23 Team902
1036 Player1036 82 Team433
1037 Player1037 58 Team581
1038 Player1038 26 Team908
1039 Player1039 98 Team75
1040 Player1040 8 Team791
1041 Player1041 83 Team42
1042 Player1042 85 Team330
1043 Player1043 55 Team975
1044 Player1044 6 Team592
1045 Player1045 13 Team788
1046 Player1046 9 Team240
1047 Player1047 44 Team54
1048 Player1048 36 Team682
1049 Player1049 65 Team6
1050 Player1050 21 Team480
1051 Player1051 13 Team140
1052 Player1052 96 Team999
1053 Player1053 96 Team640
1054 Player1054 14 Team622
1055 Player1055 96 Team827
1056 Player1056 81 Team839
1057 Player1057 79 Team582
1058 Player1058 46 Team979
1059 Player1059 12 Team24
1060 Player1060 16 Team835
1061 Player1061 87 Team350
1062 Player1062 30 Team708
1063 Player1063 10 Team142
1064 Player1064 95 Team347
1065 Player1065 52 Team638
1066 Player1066 99 Team401
1067 Player1067 47 Team691
1068 Player1068 95 Team936
1069 Player1069 21 Team411
1070 Player1070 78 Team383
1071 Player1071 26 Team190
1072 Player1072 75 Team875
1073 Player1073 90 Team723
1074 Player1074 21 Team567
1075 Player1075 26 Team39
1076 Player1076 76 Team812
1077 Player1077 31 Team468
1078 Player1078 53 Team868
1079 Player1079 23 Team543
1080 Player1080 95 Team548
1081 Player1081 11 Team618
1082 Player1082 91 Team24
1083 Player1083 1 Team204
1084 Player1084 52 Team52
1085 Player1085 86 Team637
1086 Player1086 54 Team968
1087 Player1087 42 Team406
1088 Player1088 48 Team963
1089 Player1089 90 Team976
1090 Player1090 63 Team532
1091 Player1091 14 Team45
1092 Player1092 1 Team804
1093 Player1093 23 Team916
1094 Player1094 26 Team320
1095 Player1095 36 Team792
1096 Player1096 80 Team134
1097 Player1097 93 Team643
1098 Player1098 8 Team301
1099 Player1099 36 Team79
1100 Player1100 22 Team258
1101 Player1101 89 Team894
1102 Player1102 96 Team104
1103 Player1103 98 Team234
1104 Player1104 31 Team272
1105 Player1105 10 Team991
1106 Player1106 45 Team642
1107 Player1107 93 Team48
1108 Player1108 76 Team659
1109 Player1109 84 Team303
1110 Player1110 14 Team991
1111 Player1111 4 Team569
1112 Player1112 67 Team896
1113 Player1113 97 Team9
1114 Player1114 86 Team743
1115 Player1115 19 Team700
1116 Player1116 23 Team179
1117 Player1117 83 Team358
1118 Player1118 83 Team848
1119 Player1119 45 Team346
1120 Player1120 25 Team914
1121 Player1121 16 Team711
1122 Player1122 64 Team386
1123 Player1123 76 Team505
1124 Player1124 58 Team704
1125 Player1125 86 Team70
1126 Player1126 7 Team530
1127 Player1127 71 Team75
1128 Player1128 43 Team731
1129 Player1129 67 Team845
1130 Player1130 81 Team119
1131 Player1131 9 Team364
1132 Player1132 50 Team774
1133 Player1133 57 Team732
1134 Player1134 16 Team512
1135 Player1135 29 Team399
1136 Player1136 5 Team104
1137 Player1137 29 Team680
1138 Player1138 37 Team44
1139 Player1139 69 Team89
1140 Player1140 79 Team835
1141 Player1141 50 Team23
